,titulos,enlaces,precios,habitaciones,baños,metros_cuadrados,ciudades,region
95,"BIO HACIENDA SANTA CRUZ, Apartamento en Venta en Ibagué",https://www.fincaraiz.com.co/proyectos-vivienda/bio-hacienda-santa-cruz-apartamentos-en-venta-en-ibague/15017298,192172500,2,2,56.67,ibagué,Andina
96,"VIENA, Apartamento en Venta en Marsella, Bogotá",https://www.fincaraiz.com.co/proyectos-vivienda/viena-apartamentos-en-venta-en-marsella-bogota/15017469,447152534,2,2,59,bogotá,Orinoquía
97,"CORALIA, Apartamento en Venta en Serena del Mar, Cartagena",https://www.fincaraiz.com.co/proyectos-vivienda/coralia-apartamentos-en-venta-en-serena-del-mar-cartagena/15017359,525700000,2,3,73.31,cartagena,Caribe
98,"SOLTERRA, Apartamento en Venta en Sector centro, Armenia",https://www.fincaraiz.com.co/proyectos-vivienda/solterra-apartamentos-en-venta-en-armenia/7430082,224582392,1,1,48.09,armenia,Andina
99,"INAWA, Apartamento en Venta en Serena del Mar, Cartagena",https://www.fincaraiz.com.co/proyectos-vivienda/inawa-apartamentos-en-venta-en-serena-del-mar-cartagena/15017061,547312000,2,2,73.17,cartagena,Caribe
100,"FLORES T16, Apartamento en Venta en El sembrador, Palmira",https://www.fincaraiz.com.co/proyectos-vivienda/flores-t16-apartamentos-en-venta-en-el-sembrador-palmira/10950383,297600000,2,2,84.48,palmira,desconocido
101,"PRISMA, Apartamento en Venta en Restrepo, Bogotá",https://www.fincaraiz.com.co/proyectos-vivienda/prisma-apartamentos-en-venta-en-restrepo-bogota/15017294,213525000,2,1,33.92,bogotá,Orinoquía
102,"LOS SAUCES, Apartamento en Venta en La felicidad, Bogotá",https://www.fincaraiz.com.co/proyectos-vivienda/los-sauces-apartamentos-en-venta-en-la-felicidad-bogota/15017292,736096690,3,2,80.72,bogotá,Orinoquía
103,"SALINAS DEL MAR, Apartamento en Venta en Pozos Colorados, Santa marta",https://www.fincaraiz.com.co/proyectos-vivienda/salinas-del-mar-apartamentos-en-venta-en-pozos-colorados-santa-marta/4961044,399000000,1,1,38,santa marta,Caribe
104,"COLINAS DE SAN JUAN, Apartamento en Venta en Sagrado corazon, Girón",https://www.fincaraiz.com.co/proyectos-vivienda/colinas-de-san-juan-apartamentos-en-venta-en-sagrado-corazon-giron/15017333,218000000,2,1,48.37,girón,desconocido
105,"TIERRALINDA DEL BOSQUE, Apartamento en Venta en Villa Fatima, Cali",https://www.fincaraiz.com.co/proyectos-vivienda/tierralinda-del-bosque-apartamentos-en-venta-en-villa-fatima-cali/15017069,235595700,2,1,55.44,cali,Amazonía
106,"VERONA  CONDOMINIO, Apartamento en Venta en Rincon de las garzas, Jamundí",https://www.fincaraiz.com.co/proyectos-vivienda/verona-condominio-apartamentos-en-venta-en-alfaguara-jamundi/4462929,334200000,3,2,80.47,jamundí,desconocido
107,"ZUE TURQUESA, Apartamento en Venta en Soacha",https://www.fincaraiz.com.co/proyectos-vivienda/zue-turquesa-apartamentos-en-venta-en-soacha/15017448,200000000,2,2,57,soacha,desconocido
108,TÁNGARA,https://www.fincaraiz.com.co/proyectos-vivienda/tangara-casas-en-venta-en-ciudad-country-jamundi/6815616,446057504,2,2,101.46,tángara,desconocido
109,"LA ALMERIA ALSACIA RESERVADO, Apartamento en Venta en Ciudad alsacia, Bogotá",https://www.fincaraiz.com.co/proyectos-vivienda/la-almeria-alsacia-reservado-apartamentos-en-venta-en-ciudad-alsacia-bogota/7872475,568622000,3,2,64.43,bogotá,Orinoquía
110,"PUERTA DORADA LA BAHIA, Apartamento en Venta en Veinte de julio, Barranquilla",https://www.fincaraiz.com.co/proyectos-vivienda/puerta-dorada-la-bahia-apartamentos-en-venta-en-veinte-de-julio-barranquilla/15017214,227767000,2,2,72.94,barranquilla,Caribe
111,"SALINAS DEL SOL, Apartamento en Venta en Pozos Colorados, Santa marta",https://www.fincaraiz.com.co/proyectos-vivienda/salinas-del-sol-apartamentos-en-venta-en-pozos-colorados-santa-marta/10558889,496750000,1,1,37.74,santa marta,Caribe
112,"ALTOS DE LA ESPERANZA, Apartamento en Venta en Siete trojes, Funza",https://www.fincaraiz.com.co/proyectos-vivienda/altos-de-la-esperanza-apartamentos-en-venta-en-siete-trojes-funza/7149052,213525000,3,2,60,funza,desconocido
113,"Izola Zentral, Apartamento en Venta en Fontibon, Bogotá",https://www.fincaraiz.com.co/proyectos-vivienda/izola-zentral-apartamentos-en-venta-en-hayuelos-bogota/5310953,499591000,3,2,62.75,bogotá,Orinoquía
114,"COUNTRY PARK, Apartamento en Venta en Cañaveral, Floridablanca",https://www.fincaraiz.com.co/proyectos-vivienda/country-park-apartamentos-en-venta-en-floridablanca/7347973,590443000,3,2,89.24,floridablanca,desconocido
